,V1,V2
652,149,1800
653,150,150
654,150,1984
655,151,151
656,151,3470
657,152,152
658,152,2181
659,152,2944
660,153,153
661,153,361
662,154,154
663,154,3122
664,154,2715
665,154,3400
666,155,155
667,156,156
668,156,4377
669,156,4385
670,156,994
671,156,1466
672,156,3359
673,156,4010
674,157,157
675,157,682
676,157,1736
677,158,158
678,158,1498
679,158,2066
680,158,1723
681,158,3227
682,158,264
683,158,2067
684,158,2252
685,159,159
686,159,725
687,159,2802
688,160,160
689,160,1719
690,160,276
691,160,2937
692,160,2982
693,160,601
694,160,1614
695,161,161
696,161,2551
697,161,2613
698,161,1849
699,162,162
700,163,163
701,163,1238
702,163,4438
703,163,1239
704,163,2146
705,163,654
706,163,873
707,163,1827
708,163,880
709,164,164
710,164,3358
711,164,1474
712,164,4254
713,164,1364
714,165,165
715,165,1195
716,165,350
717,165,2419
718,165,4119
719,165,1783
720,165,4564
721,165,1500
722,165,939
723,166,166
724,167,167
725,167,4596
726,167,1021
727,167,390
728,168,168
729,168,3773
730,168,2974
731,168,3513
732,168,1100
733,168,1437
734,169,169
735,169,2522
736,169,2476
737,170,170
738,170,651
739,170,2552
740,170,3076
741,170,4599
742,170,833
743,170,4379
744,170,3394
745,171,171
746,172,172
747,172,1105
748,173,173
749,173,3035
750,173,1063
751,173,2105
752,174,174
753,174,3542
754,174,1309
755,174,4252
756,174,2235
757,174,2831
758,174,2176
759,174,1096
760,175,175
761,175,2620
762,175,3626
763,175,1765
764,175,648
765,175,2275
766,175,4583
767,175,628
768,176,176
769,177,177
770,177,1633
771,177,2591
772,177,1597
773,177,668
774,178,178
775,178,3721
776,179,179
777,179,729
778,179,3029
779,179,4218
780,179,1714
781,179,2017
782,180,180
783,180,30
784,180,2718
785,180,3518
786,180,888
787,181,181
788,181,898
789,181,1301
790,181,2258
791,181,4022
792,181,2189
793,181,3781
794,182,182
795,182,2779
796,182,344
797,182,2005
798,182,2225
799,183,183
800,183,1536
801,183,4087
802,183,1064
803,183,4619
804,184,184
805,184,970
806,184,2483
807,184,1883
808,184,1798
809,185,185
810,185,933
811,185,1978
812,185,1358
813,185,2669
814,185,3176
815,185,81
816,186,186
817,186,3849
818,187,187
819,187,356
