"","V1","V2"
"814",337,5804
"815",337,7276
"816",337,4870
"817",337,4875
"818",337,4905
"819",337,6262
"820",337,7253
"821",337,6268
"822",337,6144
"823",337,7026
"824",338,6883
"825",338,6467
"826",338,6517
"827",338,7183
"828",338,6249
"829",338,5877
"830",338,6899
"831",338,5002
"832",338,5598
"833",338,7121
"834",338,5850
"835",339,6139
"836",340,7859
"837",340,7524
"838",340,8058
"839",340,7159
"840",340,8152
"841",340,6726
"842",340,7687
"843",340,7806
"844",340,7012
"845",343,9087
"846",344,4731
"847",344,5265
"848",344,4767
"849",344,4725
"850",344,4681
"851",344,5039
"852",344,4907
"853",344,4680
"854",344,4801
"855",344,4872
"856",344,5934
"857",344,4955
"858",344,4865
"859",344,4696
"860",344,4806
"861",344,5117
"862",344,6056
"863",344,5035
"864",344,4847
"865",344,4652
"866",344,5016
"867",346,7647
"868",346,5171
"869",346,7285
"870",347,4860
"871",348,8374
"872",348,8524
"873",348,8241
"874",349,6565
"875",349,5327
"876",349,5815
"877",349,7645
"878",351,6532
"879",351,6139
"880",351,6320
"881",351,5153
"882",351,7430
"883",351,5895
"884",352,8499
"885",353,7853
"886",357,7798
"887",357,7190
"888",357,7611
"889",357,6697
"890",358,5580
"891",360,7107
"892",360,8104
"893",360,5621
"894",360,4947
"895",361,6003
"896",361,5464
"897",361,5552
"898",361,5748
"899",364,8362
"900",364,8690
"901",367,5494
"902",367,5226
"903",367,4930
"904",367,4893
"905",367,7952
"906",367,5078
"907",367,5635
"908",367,4649
"909",367,6362
"910",367,5310
"911",367,5115
"912",367,5024
"913",367,5474
"914",367,6281
"915",367,5083
"916",367,5927
"917",373,7189
"918",373,5155
"919",373,7149
"920",373,6142
"921",373,5061
"922",376,4791
"923",376,4915
"924",376,4953
"925",376,5150
"926",376,4980
"927",376,4815
"928",376,7248
"929",376,4841
"930",376,5161
"931",376,5195
"932",376,4805
"933",376,5264
"934",376,4814
"935",376,7093
"936",376,4773
"937",376,5371
"938",376,5574
"939",376,5822
"940",376,6413
"941",376,5304
"942",376,4931
"943",376,7086
"944",376,4901
"945",376,5821
"946",376,8342
"947",376,7845
"948",376,7236
"949",377,8266
"950",378,8574
"951",379,6271
"952",379,6685
"953",379,6207
"954",379,7788
"955",379,7155
"956",379,7134
"957",379,5221
"958",379,7345
"959",380,8870
"960",380,8756
"961",380,9063
"962",380,8537
"963",382,5243
"964",382,5900
"965",382,6431
"966",383,8348
"967",383,8506
"968",383,8400
"969",383,7999
"970",383,8574
"971",384,5601
"972",384,5302
"973",386,8439
"974",386,8340
"975",386,8047
"976",386,6326
"977",387,8528
"978",387,8524
"979",388,8684
"980",391,6162
"981",392,6706
"982",392,5225
"983",392,5132
"984",392,6157
"985",392,5297
"986",392,5265
"987",392,5090
"988",392,7745
"989",392,5101
"990",392,5044
"991",392,5353
"992",392,4652
"993",392,4842
"994",392,6031
"995",392,4832
"996",392,6088
"997",392,4786
"998",392,4975
"999",392,7375
"1000",392,5542
"1001",392,5283
"1002",392,8263
"1003",392,6102
"1004",394,4937
"1005",394,5247
"1006",394,5466
"1007",394,5723
"1008",395,5308
"1009",396,6569
"1010",396,8125
"1011",402,5711
"1012",402,7948
"1013",402,7571
"1014",402,6203
"1015",402,7393
"1016",402,7378
"1017",403,7522
"1018",403,7031
"1019",403,8517
"1020",403,7859
"1021",403,6726
"1022",403,8501
"1023",403,7201
"1024",403,8152
"1025",403,6634
"1026",404,7400
"1027",404,8567
"1028",404,7654
"1029",407,7157
"1030",407,4702
"1031",407,6362
"1032",407,7841
